Date,Time,URL,article_title,article_head
#
### log/01_hokkaido.txt
7月5日,1:00,https://www.nikkei.com/article/DGXZQOFC291A40Z20C22A6000000/,すすきのはよみがえったのか　客足が示すウィズコロナ,日本屈指の繁華街・すすきの（札幌市）ににぎわいが戻ってきた。地下鉄駅の乗降客数は新型コロナウイルス感染拡大前の3割減まで、…続き
7月4日,20:01,https://www.nikkei.com/article/DGXZQOFC047EC0U2A700C2000000/,北海道電力、電気使用量抑制でポイント還元,北海道電力は4日、8～9月分の電気使用量を前年同月より減らした顧客にポイントを付与すると発表した。1日あたりの平均使用量が…続き
7月4日,18:56,https://www.nikkei.com/article/DGXZQOFC046N90U2A700C2000000/,農作物配送をAIで効率化　NTT東日本と調和技研が実証,NTT東日本は4日、北海道大学発スタートアップの調和技研（札幌市）と組み、人工知能（AI）を活用した農作物の物流最適化プロ…続き
7月4日,18:28,https://www.nikkei.com/article/DGXZQOFC046YP0U2A700C2000000/,北海道内5月有効求人倍率1.12倍　宿泊業が急増,北海道労働局が発表した北海道の5月の有効求人倍率（季節調整値）は1.12倍と、14カ月連続で1倍を超えた。新規求人数は前年…続き
7月4日,18:14,https://www.nikkei.com/article/DGXZQOFC045M20U2A700C2000000/,セコマが再び値上げ、店内調理のおにぎりやPB飲料,コンビニエンスストア「セイコーマート」を展開するセコマ（札幌市）は4日、店内調理する「ホットシェフ」のおにぎりを平均6%、…続き
7月4日,18:00,https://www.nikkei.com/article/DGXZQOFC0468I0U2A700C2000000/,北海道の企業倒産5年ぶり増加　1～6月108件、民間調査,東京商工リサーチ北海道支社は4日、北海道内での企業倒産が1～6月は前年同期比31件増の108件だったと発表した。上半期とし…続き
7月4日,17:55,https://www.nikkei.com/article/DGXZQOFC0467P0U2A700C2000000/,北海道のコロナ新規感染407人　1週間前から増加,北海道は4日、新たに407人の新型コロナウイルス感染を確認したと発表した。前の週の同じ曜日（6月27日、318人）を上回っ…続き
7月4日,17:54,https://www.nikkei.com/article/DGXZQOFC042DZ0U2A700C2000000/,プラ魚箱を買い物かごに　コープさっぽろと道ぎょれん,コープさっぽろ（札幌市）は4日、鮮魚を運ぶ際に使うプラスチック製の魚箱を再利用した買い物かごを発売した。3000個を全10…続き
7月4日,15:01,https://www.nikkei.com/article/DGXZQOFC0119U0R00C22A7000000/,ワンボックスをキャンピング車に、北海道・士別企業参入,建設業や介護事業のイトイグループホールディングス（GHD、北海道士別市）はグループ2社を通じ、ワンボックスカーなどをキャン…続き
